,T6,,,,,,,,,T8,,,,,,,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Frame,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
299,-136.541,-63.6109,1765.14,-146.305,-49.7667,1747.83,-127.821,-57.1406,1742.44,63.8722,103.179,1705.03,68.5212,101.641,1686.2,49.1715,110.501,1693.65
300,-137.009,-62.7851,1764.36,-146.266,-48.8539,1746.56,-128.346,-56.3883,1741.68,65.294,100.886,1705.39,69.8901,99.4534,1686.61,50.3614,108.365,1693.9
301,-137.551,-61.8183,1763.45,-147.262,-47.9529,1746.07,-128.826,-55.3741,1740.79,66.4201,98.6219,1705.94,70.8804,97.1856,1687.15,51.5241,106.226,1694.58
302,-138.106,-60.8662,1762.57,-147.774,-46.8562,1745.14,-129.443,-54.5647,1739.84,67.7209,96.7222,1706.61,71.7928,95.1547,1687.51,52.5133,104.145,1695.09
303,-138.631,-59.8654,1761.51,-148.636,-46.0957,1744.31,-129.886,-53.5053,1738.89,68.0928,94.5679,1706.87,72.3693,93.1172,1687.96,53.1778,102.223,1695.48
304,-138.996,-59.0077,1760.58,-148.941,-45.0822,1743.3,-130.643,-53.1777,1737.8,68.4004,92.582,1707.38,72.8306,91.2049,1688.49,53.5959,100.29,1696.15
305,-139.275,-58.1309,1759.6,-149.107,-44.2688,1742.29,-130.529,-51.8968,1736.84,68.8618,90.8261,1708.05,73.1653,89.2898,1689.22,53.7237,98.3107,1696.81
306,-139.341,-57.3153,1758.52,-149.24,-43.5037,1741.27,-130.674,-51.212,1735.82,69.2271,88.9799,1708.91,73.2176,87.4684,1690.02,53.7592,96.5901,1697.92
307,-139.288,-56.6072,1757.53,-149.186,-42.75,1740.05,-130.614,-50.5082,1734.72,69.3134,87.2427,1709.78,73.2288,85.7616,1691.01,53.7806,94.7279,1698.85
308,-139.207,-56.019,1756.42,-149.081,-42.1537,1738.93,-130.907,-50.4828,1733.58,69.2323,85.3775,1711.13,73.2027,83.944,1692.37,54.0154,92.9978,1700.22
309,-138.994,-55.3795,1755.32,-148.869,-41.5836,1737.94,-130.286,-49.4398,1732.53,68.8996,83.5827,1712.65,73.109,82.2458,1693.75,53.8956,91.3449,1701.56
310,-138.658,-54.809,1754.25,-148.673,-41.2141,1736.84,-130.057,-48.9072,1731.39,69.0405,82.1156,1714.26,72.919,80.5802,1695.5,53.5419,89.734,1703.33
311,-138.227,-54.3387,1753.23,-148.21,-40.5971,1735.72,-129.685,-48.444,1730.3,68.5278,80.3059,1716,72.4775,78.9591,1697.13,53.411,88.1729,1705.08
312,-137.688,-53.6795,1752.03,-147.889,-40.1959,1734.61,-129.294,-48.0037,1729.27,68.1505,78.7389,1717.95,72.2782,77.5516,1699.15,53.0464,86.6867,1707.04
313,-137.214,-53.4017,1751.01,-147.427,-39.8629,1733.65,-128.751,-47.5547,1728.15,68.046,77.662,1719.78,71.5799,76.0287,1701.02,52.2606,85.2957,1708.92
314,-136.614,-53.0405,1749.91,-146.804,-39.554,1732.55,-128.214,-47.2831,1726.99,66.8224,76.0745,1721.83,70.9668,74.9516,1703.07,51.7895,84.1327,1711.01
315,-135.811,-52.6025,1748.73,-146.043,-39.2232,1731.35,-127.488,-46.9903,1725.81,66.0348,74.9526,1723.63,69.7495,73.5857,1704.88,50.4579,82.7944,1712.85
316,-134.973,-52.279,1747.52,-145.268,-38.8962,1729.96,-126.696,-46.5828,1724.48,64.6401,73.7702,1725.8,68.6294,72.5241,1706.96,49.5137,81.7738,1714.98
317,-134.06,-52.0065,1746.13,-144.447,-38.6672,1728.71,-125.907,-46.3716,1723.16,63.6372,72.9432,1727.54,67.2691,71.6898,1708.89,47.9208,80.8232,1716.76
318,-133.162,-51.6882,1744.63,-143.602,-38.4483,1727.25,-125.366,-46.6606,1721.7,61.9551,71.9134,1729.75,65.94,70.6549,1711.08,47.0066,79.937,1718.94
319,-132.156,-51.4035,1743.17,-142.51,-38.0629,1725.7,-123.938,-45.6562,1720.12,60.8694,71.2264,1731.61,64.4684,69.8368,1712.96,45.1701,79.0457,1720.96
320,-131.072,-51.1777,1741.68,-141.532,-37.8205,1724.33,-122.881,-45.4026,1718.62,59.1115,70.3277,1733.87,63.2241,69.1458,1715.11,44.2222,78.3476,1723.14
321,-129.924,-50.8259,1740.14,-140.485,-37.6383,1722.76,-121.812,-45.1191,1717.11,57.9835,69.7464,1735.83,61.7588,68.4508,1717.16,42.3819,77.571,1725.11
322,-128.771,-50.6253,1738.65,-139.452,-37.4692,1721.27,-120.733,-44.9611,1715.57,56.3216,69.0294,1738.09,60.4783,67.8155,1719.36,41.4018,77.0596,1727.37
323,-127.687,-50.4076,1737.15,-138.343,-37.1922,1719.73,-119.673,-44.7731,1714.05,55.1668,68.487,1740.27,58.9306,67.1884,1721.63,39.6721,76.4106,1729.45
324,-126.486,-50.1805,1735.61,-137.269,-37.0428,1718.24,-118.599,-44.5352,1712.46,53.5356,67.8642,1742.55,57.7166,66.7604,1723.86,38.6895,75.9779,1731.77
325,-125.354,-49.9781,1734.02,-136.022,-36.7044,1716.68,-117.892,-44.9318,1710.86,52.3536,67.4329,1744.92,56.282,66.2146,1726.26,37.0086,75.544,1734.06
326,-124.199,-49.7966,1732.44,-135.067,-36.6718,1715.22,-116.798,-44.6015,1709.28,50.6499,66.9834,1747.07,54.8638,65.8469,1728.4,35.9088,75.2061,1736.23
327,-123.025,-49.4867,1730.91,-133.846,-36.3068,1713.61,-115.397,-43.9787,1707.72,49.5382,66.7594,1749.36,53.2574,65.4271,1730.72,34.1623,74.8093,1738.57
328,-121.843,-49.3057,1729.38,-132.628,-36.0768,1712.25,-114.224,-43.6399,1706.14,47.6276,66.454,1751.41,51.8424,65.273,1732.73,32.8726,74.6084,1740.63
329,-120.546,-49.0553,1727.95,-131.399,-35.8474,1710.76,-113.384,-43.9809,1704.66,46.4638,66.4475,1753.49,50.1643,65.0211,1734.9,31.0171,74.3523,1742.83
330,-119.161,-48.7621,1726.49,-130.018,-35.4456,1709.27,-112.083,-43.7941,1703.29,44.49,66.1702,1755.43,48.512,64.8092,1736.74,29.5459,74.266,1744.66
331,-117.632,-48.56,1725.08,-128.707,-35.407,1708.07,-110.597,-43.5749,1701.88,43.007,66.1095,1757.37,46.8385,64.8113,1738.75,27.6032,74.0342,1746.64
332,-116.057,-48.3601,1723.79,-127.142,-35.2505,1706.67,-109.019,-43.3683,1700.54,41.1384,66.0713,1759.14,45.2449,64.8893,1740.46,25.9631,74.0333,1748.41
333,-114.377,-48.2702,1722.57,-125.405,-35.139,1705.49,-107.024,-42.7979,1699.24,39.6196,66.0392,1760.89,43.4051,64.7905,1742.2,24.1695,74.0223,1750.18
334,-112.493,-48.2078,1721.45,-123.725,-35.1658,1704.46,-105.563,-43.2469,1698.13,37.8436,65.9757,1762.8,41.9533,64.7696,1744.07,22.6793,74.0311,1751.95
335,-110.544,-48.2019,1720.42,-121.837,-35.1807,1703.34,-103.842,-43.3052,1697.09,36.5423,66.1878,1764.36,40.2573,64.8633,1745.7,20.9413,74.0838,1753.6
336,-108.585,-48.1287,1719.43,-119.876,-35.217,1702.38,-101.88,-43.2249,1696.12,34.7325,66.1607,1766.19,38.7751,64.948,1747.54,19.645,74.2565,1755.36
337,-106.647,-48.0804,1718.59,-118.098,-35.1619,1701.42,-100.062,-43.3402,1695.14,33.4769,66.3587,1767.7,36.8852,64.9175,1749,17.8033,74.2045,1757.1
338,-104.663,-48.0481,1717.64,-116.088,-35.0802,1700.65,-98.1118,-43.2612,1694.18,31.3486,66.3839,1769.17,35.4234,65.0863,1750.48,16.4354,74.3679,1758.42
339,-102.685,-47.961,1716.8,-114.136,-34.981,1699.83,-96.1825,-43.0969,1693.35,29.9059,66.6105,1770.62,33.6738,65.3244,1751.84,14.4417,74.4885,1759.88
340,-100.671,-47.8337,1716.07,-112.233,-34.9092,1699.13,-94.345,-43.1475,1692.53,28.0958,66.8981,1771.85,31.97,65.5717,1753.08,12.99,74.882,1761.05
341,-98.71,-47.7881,1715.33,-110.266,-34.7286,1698.48,-92.4081,-42.982,1691.81,26.5512,67.2866,1772.75,29.9431,65.8646,1754.03,10.7892,75.0019,1762.26
342,-96.7769,-47.6413,1714.7,-108.429,-34.6304,1697.82,-90.5835,-42.6611,1691.24,24.3943,67.4557,1773.65,28.0822,66.192,1754.84,9.43344,75.6735,1762.92
343,-94.8343,-47.5468,1714.18,-106.499,-34.5438,1697.46,-88.6429,-42.3193,1690.68,22.7105,67.8732,1774.34,26.0752,66.588,1755.66,7.03277,75.7419,1763.92
344,-93.0139,-47.4405,1713.85,-104.726,-34.3452,1696.97,-87.0294,-42.4079,1690.24,20.7069,68.3044,1775.24,24.1992,66.9573,1756.36,5.56004,76.3969,1764.64
345,-91.2797,-47.3175,1713.65,-103.046,-34.2276,1696.93,-85.2955,-42.2822,1689.96,18.8917,68.7222,1775.79,22.2933,67.5559,1757.07,3.29833,76.6603,1765.5
346,-89.6532,-47.0826,1713.45,-101.462,-33.9719,1696.76,-83.7365,-42.0897,1689.68,17.2312,69.2382,1776.48,20.3895,67.9102,1757.68,1.79926,77.2845,1766.06
347,-88.2184,-46.8876,1713.35,-100.11,-33.6456,1696.91,-82.4805,-42.1411,1689.62,15.0996,69.7115,1777.11,18.5636,68.5538,1758.25,-0.351463,77.6168,1766.86
348,-86.7756,-46.6452,1713.46,-98.7971,-33.4297,1696.87,-81.0855,-41.8837,1689.61,13.5993,70.316,1777.62,16.6583,69.0683,1758.93,-2.22951,78.2732,1767.51
349,-85.487,-46.4411,1713.59,-97.4053,-33.2182,1697.22,-79.4615,-41.1648,1689.69,11.5913,70.8781,1778.37,14.8665,69.7198,1759.54,-3.94474,78.7514,1768.22
350,-84.2645,-46.167,1714.02,-96.1182,-32.7968,1697.58,-78.8867,-41.8226,1690.21,10.0108,71.6243,1778.98,13.0456,70.2565,1760.18,-5.82452,79.3586,1768.84
351,-83.0257,-45.9181,1714.47,-94.8447,-32.5846,1698.14,-77.6076,-41.4494,1690.64,8.3427,72.1497,1779.64,11.4583,71.0468,1760.82,-7.27594,79.9984,1769.51
352,-80.6657,-45.2909,1715.56,-92.5142,-31.8931,1699,-75.4711,-40.9318,1691.67,6.49274,72.7976,1780.3,9.86016,71.6056,1761.45,-9.00292,80.6544,1770.08
353,-79.6047,-44.9187,1716.18,-91.3689,-31.6223,1699.79,-74.4046,-40.5174,1692.28,5.4511,73.6024,1780.95,8.261,72.3674,1762.18,-10.6483,81.294,1770.86
354,-78.644,-44.5968,1716.77,-90.3554,-31.1068,1700.55,-73.5211,-40.2517,1693,3.93574,74.2202,1781.73,7.03115,73.0185,1762.95,-11.7713,82.1826,1771.56
355,-77.7515,-44.1912,1717.49,-89.4397,-30.8728,1701.28,-72.7169,-39.9308,1693.71,2.47253,75.0798,1782.55,5.75103,73.8451,1763.67,-13.1485,82.7275,1772.3
356,-76.9658,-43.7815,1718.24,-88.6916,-30.4906,1702.04,-71.864,-39.4288,1694.48,1.2626,75.7672,1783.19,4.41029,74.5289,1764.37,-14.7762,83.4449,1773.04
357,-76.2881,-43.3321,1719.11,-87.9763,-29.9838,1702.87,-71.3423,-39.0884,1695.36,0.156395,76.5962,1783.99,3.24117,75.4884,1765.23,-15.7596,84.344,1773.68
358,-75.1796,-42.3165,1720.99,-87.0636,-28.5802,1704.95,-69.9876,-37.6499,1696.82,-1.23164,77.318,1784.82,2.16074,76.2832,1765.99,-16.8305,85.1979,1774.46
359,-74.8514,-41.804,1721.99,-86.8319,-28.1084,1706.01,-69.9425,-37.3526,1698.25,-2.54422,78.0948,1785.53,0.968729,77.1152,1766.71,-18.0585,85.9417,1775.24
360,-74.4245,-41.255,1723.31,-86.3938,-27.4226,1707.31,-69.574,-36.8002,1699.45,-3.53681,79.0488,1786.23,-0.0611534,77.9521,1767.42,-19.266,86.7069,1775.85
361,-74.1648,-40.6734,1724.66,-86.1274,-26.7637,1708.73,-69.274,-36.1675,1700.86,-4.37175,79.9654,1786.94,-1.20673,78.8478,1768.18,-20.3813,87.5537,1776.61
362,-73.9269,-40.1014,1726.26,-85.815,-26.1785,1710.33,-69.2701,-35.8273,1702.34,-5.26835,81.0688,1787.73,-2.19383,79.6942,1768.88,-21.214,88.4964,1777.11
363,-73.8044,-39.486,1727.88,-85.776,-25.6355,1711.99,-69.0677,-35.0563,1704.04,-6.7474,81.7074,1788.23,-2.99865,80.7606,1769.52,-22.0301,89.501,1777.6
364,-73.7204,-38.9014,1729.56,-85.6641,-24.9721,1713.71,-69.1029,-34.4775,1705.71,-7.8284,82.6347,1788.79,-3.79707,81.7089,1770.16,-23.0439,90.4124,1778.26
365,-73.8722,-38.2816,1731.26,-85.7242,-24.1005,1715.51,-69.3173,-33.7675,1707.45,-8.61586,83.6829,1789.32,-4.69144,82.6759,1770.78,-24.0463,91.3221,1778.82
366,-74.2011,-37.6582,1732.92,-86.1695,-23.8441,1716.81,-69.6628,-33.1051,1709.18,-9.40095,84.6543,1789.92,-5.49893,83.5827,1771.27,-24.9331,92.2855,1779.13
367,-74.6817,-37.0264,1734.71,-86.6388,-23.1674,1718.9,-70.125,-32.4753,1710.99,-10.0623,85.6507,1790.27,-6.29721,84.5848,1771.72,-25.8776,93.1476,1779.6
368,-75.233,-36.3443,1736.44,-87.0105,-22.483,1720.56,-70.6653,-31.8129,1712.68,-10.9659,86.5785,1790.7,-7.07405,85.5976,1772.11,-26.6372,94.1673,1779.8
369,-75.9851,-35.7601,1738.2,-87.8598,-21.7332,1722.29,-71.4642,-31.3177,1714.55,-11.7987,87.5572,1791.09,-7.81422,86.568,1772.51,-27.2395,95.0895,1780.15
370,-76.8002,-35.105,1740,-88.6253,-20.9614,1724.1,-72.2444,-30.7582,1716.31,-12.5321,88.4709,1791.37,-8.44712,87.4849,1772.85,-27.8201,96.0472,1780.41
371,-77.7564,-34.5385,1741.84,-89.4244,-20.4309,1725.84,-73.1642,-30.1438,1718.12,-13.3064,89.4307,1791.63,-9.09594,88.4066,1773.04,-28.4594,96.9326,1780.56
372,-78.7202,-33.9249,1743.67,-90.5323,-20.0267,1727.62,-74.114,-29.6682,1719.97,-14.0195,90.3661,1791.81,-9.59804,89.4179,1773.37,-29.0662,97.8263,1780.67
373,-79.7579,-33.3015,1745.58,-91.5678,-19.4058,1729.46,-75.2994,-29.3034,1721.62,-14.7362,91.2026,1791.93,-10.214,90.2884,1773.4,-29.7226,98.7226,1780.77
374,-81.0418,-32.7426,1747.42,-92.6918,-18.7303,1731.33,-76.3764,-28.7778,1723.66,-15.2917,92.1301,1791.98,-10.7314,91.192,1773.46,-30.18,99.5084,1780.77
375,-82.2864,-32.035,1749.29,-94.1027,-18.2239,1733.38,-77.4868,-27.7974,1725.51,-15.8452,93.0147,1791.98,-11.2882,92.0268,1773.46,-30.7275,100.505,1780.87
376,-83.7436,-31.2805,1751.13,-95.4153,-17.4249,1735.07,-79.019,-27.2387,1727.38,-16.3954,93.8054,1791.94,-11.7512,92.9607,1773.46,-31.2607,101.281,1780.85
377,-85.244,-30.5034,1752.97,-96.8927,-16.5449,1736.89,-80.5182,-26.397,1729.12,-16.8941,94.6411,1791.93,-12.1946,93.7949,1773.44,-31.8049,102.126,1780.83
378,-86.8839,-29.721,1754.68,-98.4772,-15.6232,1738.67,-82.1741,-25.8015,1730.92,-17.3272,95.5485,1791.95,-12.5944,94.5834,1773.4,-32.3437,102.941,1780.77
379,-88.6178,-28.9615,1756.46,-100.117,-14.7586,1740.37,-83.8229,-24.8555,1732.66,-17.7578,96.3209,1791.93,-12.944,95.4738,1773.34,-32.7151,103.71,1780.61
380,-90.3965,-28.137,1758.17,-101.998,-14.0792,1742.15,-85.4506,-23.9914,1734.42,-18.1315,97.135,1791.79,-13.3219,96.1703,1773.15,-33.1271,104.566,1780.41
381,-92.1542,-27.3934,1759.8,-103.663,-13.3912,1743.81,-87.2116,-23.2816,1736.06,-18.4986,97.9435,1791.45,-13.5574,97.0634,1772.96,-33.4312,105.416,1779.96
382,-93.9365,-26.5991,1761.43,-105.434,-12.4901,1745.45,-89.0711,-22.6467,1737.62,-18.7587,98.8291,1791.02,-13.9086,97.8341,1772.64,-33.7589,106.149,1779.55
383,-95.7366,-25.8753,1762.96,-107.225,-11.8122,1746.9,-90.6384,-21.6645,1739.14,-19.2288,99.5779,1790.49,-14.2238,98.5671,1772.03,-33.8873,107.044,1778.98
384,-97.4923,-25.1458,1764.38,-109.068,-11.1941,1748.29,-92.5599,-21.1221,1740.58,-19.5663,100.243,1789.83,-14.4505,99.354,1771.28,-34.0465,107.714,1778.29
385,-99.2593,-24.477,1765.72,-110.355,-10.3534,1749.12,-94.3783,-20.7066,1741.94,-19.7799,100.963,1789.02,-14.8321,99.9955,1770.5,-34.5086,108.436,1777.54
386,-101.041,-23.8247,1766.94,-112.453,-9.83159,1750.96,-96.1063,-19.9161,1743.15,-20.0178,101.756,1788.15,-15.0307,100.695,1769.63,-34.7184,109.267,1776.38
387,-102.799,-23.1156,1768.13,-114.131,-8.99693,1751.88,-97.6325,-18.9307,1744.36,-20.2994,102.425,1787.01,-15.2855,101.397,1768.53,-35.0065,109.847,1775.5
388,-104.62,-22.3758,1769.16,-116.004,-8.36017,1753.01,-99.5493,-18.3105,1745.45,-20.4512,103.085,1785.99,-15.6145,102.084,1767.37,-35.1825,110.597,1774.44
389,-106.454,-21.6929,1770.18,-117.907,-7.77932,1753.93,-101.351,-17.6789,1746.44,-20.3628,103.846,1784.83,-15.59,102.752,1766.36,-35.4686,111.256,1773.3
390,-108.253,-20.9902,1771.07,-119.776,-7.04561,1754.93,-103.229,-16.8751,1747.39,-20.3906,104.433,1783.63,-15.6433,103.366,1765.13,-35.5423,111.925,1772.17
391,-110.144,-20.2563,1772.09,-121.532,-6.22374,1755.82,-105.179,-16.3362,1748.3,-20.0824,105.117,1782.44,-15.4761,103.965,1763.91,-35.3485,112.564,1771.07
392,-111.979,-19.4703,1772.9,-123.532,-5.48541,1756.75,-107.073,-15.4478,1749.12,-20.1506,105.674,1781.28,-15.3355,104.562,1762.65,-35.1192,113.219,1769.61
393,-113.916,-18.7214,1773.8,-125.382,-4.56367,1757.6,-109.087,-14.8213,1750.01,-20.2015,106.235,1779.67,-15.3099,105.066,1761.17,-34.7274,113.948,1768.29
394,-115.733,-18.017,1774.69,-127.236,-3.89885,1758.58,-110.774,-13.8084,1750.88,-19.8639,106.929,1778.38,-15.0705,105.6,1759.83,-34.6369,114.392,1766.76
395,-117.527,-17.2293,1775.53,-129.108,-3.30519,1759.44,-112.624,-13.0907,1751.78,-19.5216,107.535,1776.77,-14.7891,106.223,1758.2,-34.4874,114.931,1765.21
396,-119.339,-16.5715,1776.33,-130.725,-2.54088,1760.24,-114.291,-12.5022,1752.59,-19.0109,108.154,1775.22,-14.4837,106.701,1756.63,-34.1607,115.551,1763.61
397,-120.973,-15.9351,1777.08,-132.478,-2.09017,1760.92,-115.839,-11.8075,1753.29,-18.8589,108.693,1773.46,-14.0834,107.278,1755.01,-33.7612,116.159,1761.88
398,-122.613,-15.3922,1777.74,-133.975,-1.48963,1761.47,-117.59,-11.5174,1753.95,-18.8416,109.195,1771.92,-13.7893,107.806,1753.28,-33.3261,116.687,1760.34
399,-124.153,-14.9128,1778.3,-135.485,-1.14752,1761.98,-118.951,-10.9475,1754.53,-18.2069,109.85,1770.24,-13.4603,108.258,1751.7,-33.1196,117.254,1758.51
400,-125.598,-14.4647,1778.79,-136.962,-0.744678,1762.43,-120.3,-10.4932,1755.01,-17.5796,110.468,1768.48,-13.1054,108.89,1750.01,-32.693,117.781,1757.08
401,-127.029,-14.0791,1779.27,-138.365,-0.239074,1762.86,-121.788,-10.2088,1755.51,-17.257,110.974,1766.92,-12.6235,109.432,1748.4,-32.2504,118.317,1755.33
402,-128.422,-13.6727,1779.65,-139.947,-0.197133,1762.86,-123.103,-9.67426,1755.96,-16.9766,111.59,1765.07,-12.148,110.147,1746.62,-31.5481,118.931,1753.78
403,-129.809,-13.2997,1780.01,-141.189,0.421979,1763.52,-124.364,-9.20481,1756.36,-16.1885,112.102,1763.65,-11.7173,110.471,1745.04,-31.1553,119.403,1752.04
404,-131.276,-12.9644,1780.36,-142.595,0.786439,1763.84,-125.793,-8.97197,1756.79,-15.2736,112.651,1761.79,-10.9183,110.986,1743.24,-30.6791,119.858,1750.38
405,-132.57,-12.6291,1780.67,-143.863,1.13161,1764.26,-127.025,-8.49114,1757.06,-14.8598,113.011,1760.25,-10.0567,111.453,1741.59,-29.7175,120.43,1748.59
406,-133.854,-12.3303,1780.99,-145.006,1.45466,1764.57,-128.261,-8.2289,1757.38,-13.9642,113.496,1758.39,-9.35248,111.869,1739.74,-28.8152,120.8,1746.89
407,-135.116,-12.0421,1781.29,-146.371,1.66764,1764.82,-129.057,-7.22881,1757.58,-12.6488,114.06,1756.55,-8.37674,112.259,1737.98,-28.0927,121.102,1745.18
408,-136.291,-11.7339,1781.46,-147.387,2.10804,1764.9,-130.668,-7.77675,1757.76,-12.1953,114.225,1754.67,-7.36461,112.737,1736.07,-26.983,121.512,1743.15
409,-137.403,-11.4337,1781.53,-148.517,2.49169,1764.86,-131.713,-7.4042,1757.87,-10.5962,114.802,1752.67,-6.56309,112.918,1734.13,-26.0619,121.784,1741.39
410,-138.506,-11.1561,1781.55,-149.647,2.48208,1764.98,-132.603,-6.95863,1757.91,-9.7556,115.045,1750.71,-5.19944,113.332,1732.2,-25.158,122.146,1739.38
411,-139.546,-10.8508,1781.57,-150.597,2.67255,1764.67,-133.497,-6.6241,1757.93,-8.62724,115.276,1748.76,-4.28758,113.477,1730.16,-23.6188,122.383,1737.56
412,-140.517,-10.665,1781.56,-151.329,3.15065,1764.95,-134.452,-6.57485,1757.89,-7.2665,115.557,1746.54,-3.04759,113.681,1728.07,-22.856,122.512,1735.36
413,-141.37,-10.4103,1781.47,-152.502,3.03869,1764.75,-134.927,-5.74114,1757.84,-6.36802,115.58,1744.71,-1.80856,113.871,1726.14,-21.3533,122.795,1733.52
414,-142.18,-10.1593,1781.31,-153.179,3.3575,1764.49,-135.612,-5.4205,1757.71,-4.6185,115.921,1742.52,-0.643151,113.976,1724.12,-20.2204,122.967,1731.4
415,-142.996,-9.85294,1781.11,-153.682,4.02195,1764.33,-136.61,-5.45074,1757.57,-3.62135,115.997,1740.8,0.825438,114.18,1722.15,-18.6633,123.076,1729.61
416,-143.788,-9.46312,1780.91,-154.431,4.4094,1764.13,-137.419,-5.33196,1757.42,-1.84126,116.166,1738.84,2.03445,114.366,1720.19,-17.3299,123.319,1727.64
417,-144.558,-9.0879,1780.71,-154.875,4.7157,1763.61,-138.129,-4.93601,1757.23,-0.63089,116.297,1736.93,3.64653,114.544,1718.28,-15.8255,123.438,1725.94
418,-145.228,-8.66067,1780.57,-155.849,5.07008,1763.81,-138.634,-4.25327,1757.04,1.22493,116.596,1735.07,5.10612,114.754,1716.45,-14.2923,123.696,1724
419,-145.873,-8.26404,1780.5,-156.308,5.52599,1763.55,-139.206,-3.8304,1757,2.49273,116.747,1733.12,6.63301,114.964,1714.5,-12.7708,123.768,1722.23
420,-146.422,-7.74335,1780.39,-156.913,5.9945,1763.46,-139.455,-3.03848,1756.93,4.35227,117.016,1731.33,8.101,115.122,1712.69,-11.1651,124,1720.35
421,-146.881,-7.26091,1780.33,-157.378,6.43776,1763.21,-140.234,-2.99952,1756.88,5.72861,117.233,1729.42,9.74287,115.311,1710.71,-9.69822,124.175,1718.48
422,-147.297,-6.7188,1780.19,-157.679,6.80123,1762.67,-140.526,-2.5484,1756.79,7.57999,117.273,1727.75,11.3261,115.533,1708.92,-7.92579,124.334,1716.8
423,-147.577,-6.13045,1780.05,-157.855,7.5859,1762.44,-140.563,-1.7894,1756.68,9.33711,117.602,1725.78,13.1104,115.625,1707.17,-6.27576,124.515,1715.04
424,-147.778,-5.61861,1779.87,-158.22,8.0843,1762.62,-140.958,-1.6048,1756.47,11.3396,117.711,1724.38,14.947,115.724,1705.59,-4.37834,124.523,1713.51
425,-147.913,-5.0671,1779.69,-158.291,8.59186,1762.44,-141.032,-1.15275,1756.28,13.3918,117.701,1722.88,17.0678,115.822,1704.17,-2.12991,124.699,1712.08
426,-147.962,-4.4797,1779.46,-158.254,9.21859,1762.16,-141.072,-0.5869,1756.03,15.5629,117.749,1721.47,19.0089,115.646,1702.78,-0.20791,124.666,1710.67
427,-147.938,-3.84592,1779.18,-158.138,9.93475,1761.89,-141.076,-0.111999,1755.8,17.9943,117.779,1720.1,21.2085,115.569,1701.35,2.25498,124.793,1709.27
428,-147.801,-3.2314,1778.89,-158.074,10.5024,1761.63,-140.872,0.564431,1755.56,19.9585,117.568,1718.89,23.5507,115.58,1700.16,4.3572,124.543,1708.25
429,-147.608,-2.58877,1778.66,-157.813,10.999,1761.17,-140.644,1.18321,1755.23,22.5844,117.433,1717.68,25.6286,115.305,1699.02,6.56185,124.428,1707.23
430,-147.373,-1.91107,1778.32,-157.567,11.4969,1760.91,-140.291,1.93264,1754.92,24.8102,117.134,1716.75,28.0178,114.996,1697.95,9.13607,124.33,1706.18
431,-147.087,-1.22726,1778.01,-157.225,12.3184,1760.5,-139.937,2.40058,1754.66,27.0911,117.05,1715.5,30.203,114.791,1696.85,11.2534,124.116,1705.17
432,-146.711,-0.622159,1777.69,-156.937,12.8139,1760.16,-139.548,3.0066,1754.36,29.5618,116.752,1714.54,32.3279,114.418,1695.89,13.6374,123.891,1704.22
433,-146.247,-0.0122757,1777.31,-156.454,13.3629,1759.71,-139.091,3.66345,1753.87,31.4973,116.332,1713.79,34.4799,114.2,1695.02,15.8093,123.753,1703.48
434,-145.803,0.715529,1776.84,-156.053,14.0327,1759.25,-138.669,4.17341,1753.46,33.9642,116.231,1712.83,36.4979,113.93,1694.2,17.8182,123.504,1702.72
435,-145.279,1.38865,1776.33,-155.358,15.0004,1758.61,-137.965,5.09215,1753.03,35.7907,115.864,1712.25,38.4785,113.57,1693.59,19.9725,123.411,1702.2
436,-144.79,2.10479,1775.74,-154.973,15.4927,1758.11,-137.641,5.36858,1752.39,37.9382,115.941,1711.5,40.1114,113.193,1692.96,21.716,123.208,1701.81
437,-144.262,2.85225,1775.04,-154.34,16.3065,1757.5,-137.205,5.96559,1751.64,39.5538,115.639,1711.27,42.0336,113.005,1692.75,23.7044,122.98,1701.53
438,-143.763,3.61166,1774.39,-153.868,16.8807,1756.62,-136.643,6.64439,1750.95,41.8173,115.26,1711.12,43.8342,112.775,1692.64,25.5242,122.854,1701.59
439,-143.126,4.41896,1773.6,-153.347,17.5415,1755.92,-135.993,7.56053,1750.15,43.2972,115.243,1711.52,45.4432,112.51,1692.7,27.2538,122.722,1701.85
440,-142.515,5.16142,1772.86,-152.736,18.1169,1755.05,-135.262,8.31991,1749.36,45.2993,115.102,1711.68,47.2814,112.441,1693.02,29.2231,122.693,1702.1
441,-141.778,5.92911,1772.07,-151.916,18.8998,1754.2,-134.515,9.06629,1748.65,46.7479,114.812,1712.14,48.81,112.275,1693.46,30.5178,122.555,1702.46
442,-140.944,6.67587,1771.28,-150.974,19.7811,1753.37,-133.861,9.47008,1747.73,48.199,114.703,1712.44,50.1597,112.177,1693.88,32.2885,122.506,1702.94
443,-140.087,7.40627,1770.44,-150.245,20.2453,1752.58,-132.297,11.2012,1747.05,49.7781,114.832,1712.89,51.4968,112.219,1694.36,33.5996,122.682,1703.45
444,-139.032,8.20148,1769.63,-149.228,21.1777,1751.68,-131.697,11.2028,1746.2,50.752,114.874,1713.65,52.6107,112.314,1694.9,34.604,122.782,1704.04
